Gene,Sentitive_1,Sentitive_2,Sentitive_3,Sentitive_4,Sentitive_5,Resistant_1,Resistant_2,Resistant_3,Resistant_4,Resistant_5
HPGD,3.827633112,3.811430464,3.675762369,3.370934724,3.60600662,4.908911182,4.897155582,4.927320907,5.076779885,5.027201711
STYK1,4.650585021,4.654932771,4.699493247,4.893286278,4.466128487,6.468370473,6.222250763,6.160531166,6.381941855,6.548337012
CCT8,4.346829564,3.541307517,3.867472289,4.076929063,4.29266036,5.326649082,4.780500427,5.467613449,5.835402336,6.009913272
VCL,3.654772627,3.011603093,3.384478455,3.839769033,3.720222481,4.979246645,4.214272724,4.670875977,5.099398465,5.113390736
EIF2AK4,4.037197396,3.624103784,3.865055876,3.896821266,3.759587523,5.186640036,5.122833945,5.314116773,5.252934499,5.443075723
MEST,3.021223418,3.181472518,2.512719603,2.725171358,2.964102431,3.899590719,3.728378839,3.764478135,4.043132238,4.358996845
HEY1,6.090182555,6.081339351,6.079878446,5.958470564,6.152322252,8.335390052,8.178583512,8.180624676,8.678425948,8.422429239
G6PD,5.45726275,5.745360018,5.630358232,5.976619262,5.585365875,7.472263101,7.400913471,7.769682503,8.42622777,8.185275996
GPR137C,2.892619617,2.541073042,2.777063057,2.671994098,2.730797754,3.525492482,3.914348777,3.374587206,4.082765018,4.00552378
COL13A1,4.454444106,4.903300982,4.672195213,4.211884585,4.12726054,6.540512402,6.338764656,5.913287482,6.14862912,6.235749237
TGFBR2,5.815271263,5.360046166,5.799459092,5.617681539,5.567868199,7.768328979,7.829646347,7.61071744,8.158878082,8.180750585
NF2,3.647546339,3.548345547,3.599548674,4.055728561,3.555132811,5.114246647,4.768296892,5.17161548,5.288459369,5.520547559
SLFN11,5.062607654,5.453780575,5.061527686,5.432496457,4.838038767,7.23167619,7.125028629,7.012119748,7.335092664,7.871005695
DCAF5,3.164763452,2.989424022,2.671259689,2.967328662,2.87374807,4.168038217,4.033885792,3.993287565,4.336102451,4.259374923
MLLT3,4.11841401,3.830443667,4.196697073,4.183609918,4.533404266,5.935895051,5.618788672,5.75546908,6.318655181,6.033234732
FRMD4A,3.443923274,2.945626126,2.954545572,4.061843766,4.08269528,5.279710795,4.456685808,4.652564806,4.963277442,5.632384178
ANKRD22,3.892206461,4.077175271,3.509616875,4.358121489,3.940246877,5.723713234,5.631858301,5.307573819,5.578751395,6.045292926
TTC30A,4.666181764,4.270048302,4.031294778,4.609565656,4.318283542,6.592649311,6.102194017,5.972641014,6.155348011,6.753752872
OLFML3,5.45360582,5.197865317,5.503244666,5.610971733,5.375178046,7.705272865,7.633148738,7.705962714,8.115688788,7.995858324
KISS1R,4.597686518,4.502817576,5.056910187,4.254029228,4.764149348,6.860087816,6.623574077,6.549123957,6.450286234,6.999128519
PRRX1,4.444150488,4.315948762,3.666236921,4.070009664,4.215952011,6.083298203,5.777113845,5.479100769,6.004636164,6.609025296
SUN1,3.644762584,3.749013267,3.957530036,4.130989649,3.679197432,5.903888173,5.52254512,4.985487889,5.394247294,5.937742086
COL3A1,3.998222399,4.106729639,4.298973813,4.000711423,3.902477009,5.927213977,5.270869159,5.697773458,5.864472008,6.738196039
DMRT1,4.745062549,3.895772518,4.584454237,4.367423928,3.906548755,6.365332208,6.349010312,6.15402359,6.147332941,6.477123852
PRR16,5.15774206,4.67353827,4.561387508,4.706450568,4.730199408,6.938969277,6.921603782,7.012603416,6.936586808,7.198092374
AUTS2,5.004688488,5.074678709,4.814536962,5.629133472,5.341247251,7.505034687,7.43256667,7.226914249,7.846629227,8.006539997
PPP1R36,3.028887246,5.187431921,3.929447722,3.908364829,4.996345993,6.045040078,6.309103092,5.840847839,6.331183186,6.434116897
CCDC178,6.24839958,6.055671311,6.504155852,6.187826168,6.262231148,9.208757911,9.076520196,8.957113615,9.447661181,9.406097974
HSPA2,2.749896746,2.636629616,3.015877483,2.726106477,2.605620763,3.695780415,3.967697679,3.859901521,4.840608,3.933738514
ROR1-AS1,3.565491922,3.349320621,3.919539914,2.895599123,3.763360116,5.126731942,4.896676669,4.988834501,5.623576764,5.378921893
RIC1,2.230516415,2.291762574,1.993782048,2.326797102,2.407182686,3.61037755,2.686187374,2.961454087,3.775320615,3.71766824
PSMB8,4.467196277,4.960574453,4.775347943,4.878243846,4.92876362,7.053186496,6.968291893,6.956567675,7.456509726,7.451459387
TOR1AIP2,2.654676503,1.806170562,2.219448272,2.209182335,2.495740476,3.298964706,3.158148938,2.8882398,3.534683432,4.225896711
PDE11A,3.212482362,3.1723603,3.123577003,3.067128324,3.049036918,5.163334043,4.677787809,4.327476098,4.636846815,5.109478115
MTRF1,3.17837411,2.876944893,2.721868824,3.528160152,3.420703057,4.920273068,4.133812854,4.655483589,5.149910044,5.215983577
MDFIC,4.05062958,4.314198174,4.347466648,3.690209573,3.992087786,6.366038804,6.283601771,6.335483123,6.18733259,6.050606119
FRMD4B,2.160351509,2.22272247,2.030080321,1.961301478,2.213976384,3.5984476,3.15025495,2.809104029,3.254746162,3.440439325
TMX3,3.393403953,3.316129609,2.804224906,3.012951806,3.12994595,4.631216479,5.032086417,4.89395235,4.657463534,4.881845157
ZNF423,3.920551986,3.778332531,4.247765198,3.590091271,3.703759436,6.083298203,5.917512652,5.802296296,5.919125169,5.929511139
GRB14,2.637463949,3.003033825,2.454368418,2.530140436,2.623788458,3.912335818,3.99580943,4.011490795,4.14432674,4.416456717
HAPLN1,4.526459881,4.32188353,4.477689684,4.229720188,4.851973892,6.970277045,6.901758833,6.633832278,7.021251506,7.160123376
KCNJ16,2.592032987,2.808212125,2.946576036,2.498333692,2.729622004,4.605691437,4.662114487,3.805622702,3.688195614,4.270548221
MSC-AS1,2.17043686,1.842009707,2.07026577,2.15964686,1.976091854,3.501123816,3.223107361,2.8882398,2.89310147,3.348699321
FAM107A,4.981124195,4.917230159,4.796409428,3.911043244,5.15460539,7.295297625,7.464767038,7.364296242,7.496442373,7.721267335
DCLK1,5.423675569,5.280512048,5.17612273,5.415408951,5.334239597,8.432835454,8.230406177,8.213570837,8.458114394,8.52270797
COL1A2,5.393503373,5.711914427,5.47613647,5.472749618,5.316431295,8.977263901,8.891368276,8.781278754,9.20082254,9.417233457
TMEM35,4.692205397,4.533506791,4.808015589,4.911093348,4.463249509,7.507330765,7.748692251,7.582293168,7.835082107,8.143517065
ASXL3,4.340867192,4.232398159,4.340169604,3.993918836,4.407289585,7.233962073,7.132750173,6.875424465,6.778047346,7.561534774
STAT4,4.237858985,4.579039514,4.616758348,3.546066911,4.298101531,7.039973579,6.7866901,6.847578712,7.39753108,7.588929069
PDGFRA,4.39577963,3.815980424,4.086490459,4.457576514,3.952925988,6.967774014,6.903998196,6.607569107,7.187528983,7.213367062
TCEAL3,5.292299035,5.336591057,4.576113425,4.41519222,4.694913176,8.406920444,8.502644423,8.383096585,8.37263425,8.755731183
IGFBP5,4.337294854,4.16426023,4.258582921,3.67618328,4.233469562,7.069477999,7.270684402,7.297169985,7.130706629,7.40191413
FOXP2,2.263268498,2.290889772,2.295305074,2.528122908,2.422204892,4.957582015,3.623273619,3.842105547,4.12431263,4.816131679
SALL1,3.06363498,2.985617955,2.88464259,3.347689704,2.996958002,5.784361108,5.175932925,5.340612882,5.840852087,5.82831213
GIMAP2,3.215563423,2.307135455,2.905181735,3.1255542,2.969241627,5.485555216,5.333904738,4.756235799,5.316657691,5.708608156
KLHL14,4.500804652,4.757028576,4.868762431,4.822839172,4.649111706,9.419165213,9.135502143,9.019513422,9.26448927,9.502052907
CXCR4,2.237779836,2.178525001,2.517868874,2.321598739,2.431829866,5.020875976,3.977133792,4.134597691,5.068144736,5.174949326
HOTAIR,2.474014277,2.393455516,2.491932681,2.459033291,2.348474932,5.14780154,5.075506535,4.947707324,4.360003154,5.377565256
NEFL,2.484105947,2.743120556,2.594355245,2.457151959,2.841056471,5.73533857,4.937089183,5.001246982,5.725115034,5.586408583
KCNJ2,5.497668052,5.065932333,5.018104057,4.904998194,5.20312622,10.77240616,10.65069635,10.51584207,10.47372362,10.59458016
LOXL1,3.475201261,3.103169365,3.07390217,3.699497731,3.084235367,6.968713919,6.207546639,6.524955584,7.263841715,7.256174512
PCSK5,3.432434759,3.698565,3.561358406,4.173406357,3.515561327,7.926685112,7.555160256,7.406835569,7.821827746,8.158166918
DMRT3,3.066958713,2.750880615,3.570023784,3.322452713,2.894863294,7.562784556,6.87555757,7.014092743,7.376655772,7.058751121
