Gene,Sentitive_1,Sentitive_2,Sentitive_3,Sentitive_4,Sentitive_5,Resistant_1,Resistant_2,Resistant_3,Resistant_4,Resistant_5
CADM2,3.636755756,3.234306054,3.773908654,4.251155874,3.536567496,1.812663143,2.243636826,2.15787278,2.146521418,1.795791456
GUCY1A3,5.217534141,5.195770252,4.873057853,5.543035217,4.343507419,2.913413207,3.120445061,2.753541881,2.427776012,2.72254653
SHISA3,7.982919393,7.607359811,7.6674744,7.810671847,7.984167135,4.446487382,4.433314451,4.225492034,4.447493731,4.242816868
NUP210L,5.518087857,5.663527332,5.291649504,5.953864724,5.912882921,3.614512527,3.076184301,3.476910673,3.100744899,2.607643993
LOX,6.571332104,5.18341012,5.378649904,6.358334385,6.489746558,3.495421047,3.381945876,3.197755614,3.459873653,3.280313027
BEND4,6.759627213,6.537612633,6.39581664,6.705502834,6.191391637,3.620674346,3.565034642,3.783398119,3.802602537,3.907500197
COL21A1,4.618783094,3.905959259,4.114025942,4.448613145,4.560779118,2.186417637,2.364419675,2.634656033,2.63968931,2.628217168
MMP10,10.65144646,9.963479885,9.96203416,10.95506912,10.45715715,6.159504698,5.900441505,5.898494654,6.12418341,6.444217659
FAM134B,4.636585377,4.79950684,4.873057853,4.4829073,4.949350289,2.900459709,2.960483497,2.8882398,2.619005485,2.590307108
ZNF804A,5.832179229,5.284076992,5.365731384,6.077998103,5.380912933,3.675603396,2.954079528,3.381553285,3.175453303,3.387848788
FRAS1,4.876572659,4.294570884,4.179121985,4.637570406,4.098753781,2.567035851,2.50195765,2.861569837,2.437192327,2.74645888
ITGA2,6.293648979,5.611689689,5.198617085,6.265957473,6.18508132,2.80180893,4.221322587,3.467691597,3.753019357,3.507598103
MAP7,5.296939527,4.829613599,4.774562665,5.163690819,4.744559528,3.000606044,3.126399766,2.995403393,2.813688634,3.063069466
CYP39A1,4.428150125,4.191174552,4.472609548,4.77363636,3.78996339,2.596755455,2.338166287,3.000427277,2.639437503,2.571876083
PI15,5.787647429,5.814104482,5.26693604,5.842754065,5.470195747,3.393810115,3.525688714,3.454967866,3.564298099,3.202685044
CDH2,6.339457131,6.366319823,6.496243632,6.586256688,6.367349359,3.781079691,4.072286795,4.012330457,3.913444533,3.848536442
LINC01139,8.679298474,8.22290972,8.216758601,8.362785307,8.561574896,5.531632188,5.151509393,4.958526014,4.972422956,5.362902159
ADGRL4,3.913953948,3.3742088,3.651648446,3.810733913,3.495167297,2.431921515,2.35068114,2.270349343,2.016561641,2.205412577
TSLP,6.077200243,5.589464446,5.735239735,6.259883754,5.619669257,3.659815899,3.683140379,3.56404815,3.38577353,3.914284292
MMP1,6.042653374,5.67418236,6.031900458,6.01071921,5.810031393,3.725130973,3.712690574,3.698680262,3.627072974,3.623293737
LRIG3,3.241462828,3.87531535,3.406978747,3.810626812,3.237446321,2.385240791,2.067498114,1.95813004,2.087500964,2.451496001
TSPAN12,3.572219414,3.416455323,3.187056521,3.980834605,3.555088401,2.179322142,2.580428074,2.079931369,2.160146239,2.066761825
IL33,4.966278642,4.405553721,4.331559955,4.948211116,4.172937564,2.962187047,2.67390009,2.703351138,2.748893936,3.188658901
ALDH1A1,7.952018007,7.339948804,7.303817153,8.290219752,8.022389936,5.036855491,4.688650661,4.370059496,4.899907444,5.363340642
ZDHHC2,5.399519254,5.214610687,5.232772124,4.670012223,5.086900737,3.477432897,3.456631504,3.131441753,3.042683015,3.018112849
FAM129A,8.186125949,8.268615426,8.179011067,8.773576379,8.240949328,5.983620474,6.16389199,4.159114253,3.978624572,5.963095327
